REG_NO_good,BSSH_NM,is_good_restaurant,REG_NO_safe,RPRSNTV_NM,INDUTY,INDUTY_DETAIL,DSGN_YMD,is_safe_restaurant,ADRES,TELNO,base_score,combined_text,CLEAN_ADRES,latitude,longitude
,소백산숯불구이전문점염소숯불,0,108,최영식,일반음식점,한식,1.65289E+12,1,경상북도 영주시 지천로 137,054-634-8866,10,소백산숯불구이전문점염소숯불 경상북도 영주시 지천로 137 한식,경상북도 영주시 지천로 137,36.8161634,128.619958
,소백왕감자탕,0,146,김석종,일반음식점,한식,1.63777E+12,1,경상북도 영주시 대학로240번길 16-2,054-636-1022,10,소백왕감자탕 경상북도 영주시 대학로240번길 16-2 한식,경상북도 영주시 대학로240번길 16-2,36.8168755,128.6055673
12,소인소,1,,,,,,0,경상북도 영주시 선비로 46 ,054-633-0037,100,소인소 경상북도 영주시 선비로 46,경상북도 영주시 선비로 46,36.8095268,128.6251989
,송림바다생선구이식당,0,114,함종호,일반음식점,한식,1.65289E+12,1,경상북도 영주시 지천로71번길 27,054-632-9987,10,송림바다생선구이식당 경상북도 영주시 지천로71번길 27 한식,경상북도 영주시 지천로71번길 27,36.8066511,128.618539
,송이식당,0,4,최희태,일반음식점,한식,1.65651E+12,1,경상북도 영주시 부석면 부석로 77,054-633-3046,10,송이식당 경상북도 영주시 부석면 부석로 77 한식,경상북도 영주시 부석면 부석로 77,36.9767416,128.6521087
,수미설렁탕,0,107,김순안,일반음식점,한식,1.65289E+12,1,경상북도 영주시 원당로 13,054-633-2588,10,수미설렁탕 경상북도 영주시 원당로 13 한식,경상북도 영주시 원당로 13,36.8301568,128.6363352
13,순흥전통묵집,1,,,,,,0,경상북도 영주시 순흥면 순흥로39번길 21,054-634-4614,100,순흥전통묵집 경상북도 영주시 순흥면 순흥로39번길 21,경상북도 영주시 순흥면 순흥로39번길 21,36.91343115,128.5751092
,숯불촌,0,36,김호성,일반음식점,한식,1.65582E+12,1,경상북도 영주시 구성로 270,054-634-6339,10,숯불촌 경상북도 영주시 구성로 270 한식,경상북도 영주시 구성로 270,36.824067,128.6220614
,스시엔짬뽕,0,118,이선영,일반음식점,일식,1.65289E+12,1,경상북도 영주시 선비로 54-3,054-633-9291,10,스시엔짬뽕 경상북도 영주시 선비로 54-3 일식,경상북도 영주시 선비로 54-3,36.8101233,128.6246609
,스파고,0,126,김지연,일반음식점,기타 음식점업,1.65289E+12,1,경상북도 영주시 대학로 178,054-633-0201,10,스파고 경상북도 영주시 대학로 178 기타 음식점업,경상북도 영주시 대학로 178,36.8187464,128.6046765
,시골밥상,0,69,김명랑,일반음식점,한식,1.65582E+12,1,경상북도 영주시 부석면 소백로 3766,054-631-4179,10,시골밥상 경상북도 영주시 부석면 소백로 3766 한식,경상북도 영주시 부석면 소백로 3766,36.9738911,128.6452031
,시민칼국수,0,29,임현민,일반음식점,한식,1.65582E+12,1,경상북도 영주시 대학로86번길 15,054-632-3109,10,시민칼국수 경상북도 영주시 대학로86번길 15 한식,경상북도 영주시 대학로86번길 15,36.80829024,128.6152911
14,시장순대,1,,,,,,0,경상북도 영주시 대동로 142 ,054-632-2195,100,시장순대 경상북도 영주시 대동로 142,경상북도 영주시 대동로 142,36.8148695,128.6096345
,신대성참숯구이,0,228,신명숙,일반음식점,한식,1.58489E+12,1,경상북도 영주시 풍기읍 죽령로 1552,054-638-5399,10,신대성참숯구이 경상북도 영주시 풍기읍 죽령로 1552 한식,경상북도 영주시 풍기읍 죽령로 1552,36.8730056,128.5133963
,신역전식당,0,21,이선옥,일반음식점,한식,1.65582E+12,1,경상북도 영주시 선비로 57,054-633-9343,10,신역전식당 경상북도 영주시 선비로 57 한식,경상북도 영주시 선비로 57,36.8146002,128.6225686
,신전떡볶이영주분수대점,0,66,신혜빈,일반음식점_외,기타 음식점업,1.65582E+12,1,경상북도 영주시 영주로 223-3,054-631-6339,10,신전떡볶이영주분수대점 경상북도 영주시 영주로 223-3 기타 음식점업,경상북도 영주시 영주로 223-3,36.824815,128.6158266
,신차이나,0,222,김현기,일반음식점,중식,1.58489E+12,1,경상북도 영주시 풍기읍 동양대로 107-4,054-635-5957,10,신차이나 경상북도 영주시 풍기읍 동양대로 107-4 중식,경상북도 영주시 풍기읍 동양대로 107-4,36.87905003,128.5334216
,신흥식당,0,113,김시현,일반음식점,한식,1.65289E+12,1,경상북도 영주시 대학로22번길 70,054-635-0500,10,신흥식당 경상북도 영주시 대학로22번길 70 한식,경상북도 영주시 대학로22번길 70,36.81258905,128.6199793
,싱글벙글식당,0,83,박말순,일반음식점,한식,1.65582E+12,1,경상북도 영주시 대학로240번길 16-16,054-636-6976,10,싱글벙글식당 경상북도 영주시 대학로240번길 16-16 한식,경상북도 영주시 대학로240번길 16-16,36.8168755,128.6055673
,싸리골곤드레식당,0,181,정위남,일반음식점,한식,1.61893E+12,1,경상북도 영주시 중앙로106번길 8,054-636-7718,10,싸리골곤드레식당 경상북도 영주시 중앙로106번길 8 한식,경상북도 영주시 중앙로106번길 8,36.8245734,128.6262435
,쌈촌가흥점,0,159,김영훈,일반음식점,한식,1.62152E+12,1,경상북도 영주시 대학로240번길 18,054-633-9249,10,쌈촌가흥점 경상북도 영주시 대학로240번길 18 한식,경상북도 영주시 대학로240번길 18,36.8167674,128.6069051
15,아테네,1,,,,,,0,경상북도 영주시 영주로231번길 13 ,054-633-8810,100,아테네 경상북도 영주시 영주로231번길 13,경상북도 영주시 영주로231번길 13,36.8266938,128.6253508
,아테네레스토랑,0,203,김연자,일반음식점,서양식,1.60329E+12,1,경상북도 영주시 영주로231번길 13,054-633-8810,10,아테네레스토랑 경상북도 영주시 영주로231번길 13 서양식,경상북도 영주시 영주로231번길 13,36.8266938,128.6253508
,안가숯불구이,0,26,배말순,일반음식점,한식,1.65582E+12,1,경상북도 영주시 선비로 85-1,054-635-4970,10,안가숯불구이 경상북도 영주시 선비로 85-1 한식,경상북도 영주시 선비로 85-1,36.8266724,128.6160008
,안정농협한식뷔페,0,231,손기을,일반음식점,한식,1.58489E+12,1,경상북도 영주시 대학로284번길 5 2층,054-632-8552,10,안정농협한식뷔페 경상북도 영주시 대학로284번길 5 2층 한식,경상북도 영주시 대학로284번길 5 2층,36.82087564,128.6056927
,안정신대성인삼숯불,0,185,박혜순,일반음식점,기타 음식점업,1.61893E+12,1,경상북도 영주시 안정면 신재로 547,054-632-6633,10,안정신대성인삼숯불 경상북도 영주시 안정면 신재로 547 기타 음식점업,경상북도 영주시 안정면 신재로 547,36.8507245,128.5509835
16,약선당,1,,,,,,0,경상북도 영주시 봉현면 신재로 887-14,054-638-2728,100,약선당 경상북도 영주시 봉현면 신재로 887-14,경상북도 영주시 봉현면 신재로 887-14,36.86304032,128.5252035
17,약선당영주삼계탕,1,,,,,,0,경상북도 영주시 봉현면 신재로 831,054-633-3379,100,약선당영주삼계탕 경상북도 영주시 봉현면 신재로 831,경상북도 영주시 봉현면 신재로 831,36.86168473,128.5317334
,양지반점,0,39,김중동,일반음식점,중식,1.65582E+12,1,경상북도 영주시 번영로 50,054-635-8210,10,양지반점 경상북도 영주시 번영로 50 중식,경상북도 영주시 번영로 50,36.8247808,128.6250677
,어달리해물찜,0,92,김명숙,일반음식점,한식,1.65289E+12,1,경상북도 영주시 대학로 21,054-636-8897,10,어달리해물찜 경상북도 영주시 대학로 21 한식,경상북도 영주시 대학로 21,36.8187464,128.6046765
,어탕칼국수영주점,0,179,장상호,일반음식점,기타 음식점업,1.61893E+12,1,경상북도 영주시 영주로72번길 8,054-633-1202,10,어탕칼국수영주점 경상북도 영주시 영주로72번길 8 기타 음식점업,경상북도 영주시 영주로72번길 8,36.8208502,128.607897
,엄마손두부,0,17,김노영,일반음식점,한식,1.65582E+12,1,경상북도 영주시 구성로 188 외2필지,054-632-7675,10,엄마손두부 경상북도 영주시 구성로 188 외2필지 한식,경상북도 영주시 구성로 188 외2필지,36.8099662,128.6286752
,염소마당,0,9,조동흔,일반음식점,한식,1.65582E+12,1,경상북도 영주시 중앙로 21,054-632-2326,10,염소마당 경상북도 영주시 중앙로 21 한식,경상북도 영주시 중앙로 21,36.8189804,128.6176292
,영남아구찜,0,150,김정숙,일반음식점,한식,1.62455E+12,1,경상북도 영주시 영주로 259,054-635-2214,10,영남아구찜 경상북도 영주시 영주로 259 한식,경상북도 영주시 영주로 259,36.824815,128.6158266
,영덕해물탕,0,116,김명진,일반음식점,한식,1.65289E+12,1,경상북도 영주시 지천로50번길 64,054-635-8256,10,영덕해물탕 경상북도 영주시 지천로50번길 64 한식,경상북도 영주시 지천로50번길 64,36.8049198,128.6215564
,영주거랑애식당,0,10,김란희,일반음식점,한식,1.65582E+12,1,경상북도 영주시 원당로 29-1,054-635-3135,10,영주거랑애식당 경상북도 영주시 원당로 29-1 한식,경상북도 영주시 원당로 29-1,36.8236758,128.6283491
,영주골식당,0,32,김대진,일반음식점,한식,1.65582E+12,1,경상북도 영주시 번영로 85,054-638-8860,10,영주골식당 경상북도 영주시 번영로 85 한식,경상북도 영주시 번영로 85,36.8247808,128.6250677
18,영주동부야식,1,202,김경숙,일반음식점,한식,1.60329E+12,1,경상북도 영주시 대학로164번길 15-1,054-638-1073,110,영주동부야식 경상북도 영주시 대학로164번길 15-1 한식,경상북도 영주시 대학로164번길 15-1,36.8118927,128.6081511
,영주등갈비,0,20,오나검,일반음식점,한식,1.65582E+12,1,경상북도 영주시 목민로 40,-,10,영주등갈비 경상북도 영주시 목민로 40 한식,경상북도 영주시 목민로 40,36.80859569,128.62025
,영주벌교꼬막정식,0,161,심창한,일반음식점,한식,1.62152E+12,1,경상북도 영주시 대학로240번길 27-2,054-635-3356,10,영주벌교꼬막정식 경상북도 영주시 대학로240번길 27-2 한식,경상북도 영주시 대학로240번길 27-2,36.8167674,128.6069051
19,영주소백산능이버섯칼국수,1,201,이종민,일반음식점,기타 음식점업,1.60329E+12,1,경상북도 영주시 풍기읍 동양대로 39 ,054-638-2662,110,영주소백산능이버섯칼국수 경상북도 영주시 풍기읍 동양대로 39  기타 음식점업,경상북도 영주시 풍기읍 동양대로 39,36.87439119,128.5291561
,영주순대국밥,0,168,최금선,일반음식점,한식,1.61893E+12,1,경상북도 영주시 꽃동산로 32-6,054-633-3380,10,영주순대국밥 경상북도 영주시 꽃동산로 32-6 한식,경상북도 영주시 꽃동산로 32-6,36.8118794,128.622605
,영주시니어클럽은빛식당,0,5,윤대성,일반음식점,한식,1.65582E+12,1,경상북도 영주시 지천로173번길 10 2층,054-917-3355,10,영주시니어클럽은빛식당 경상북도 영주시 지천로173번길 10 2층 한식,경상북도 영주시 지천로173번길 10 2층,36.81595417,128.6191233
,영주축협한우플라자본점,0,226,서병국,일반음식점,한식,1.58489E+12,1,경상북도 영주시 한정로 10 2층,054-630-6720,10,영주축협한우플라자본점 경상북도 영주시 한정로 10 2층 한식,경상북도 영주시 한정로 10 2층,36.80510211,128.6084319
20,영주칠향계,1,223,김인자,일반음식점,한식,1.58489E+12,1,경상북도 영주시 풍기읍 풍기로 57-21 ,054-638-7797 ,110,영주칠향계 경상북도 영주시 풍기읍 풍기로 57-21  한식,경상북도 영주시 풍기읍 풍기로 57-21,36.87001883,128.5243613
,영주한우국밥,0,35,안영숙,일반음식점,한식,1.65582E+12,1,경상북도 영주시 번영로 71,-,10,영주한우국밥 경상북도 영주시 번영로 71 한식,경상북도 영주시 번영로 71,36.8247808,128.6250677
,영주한우마을,0,190,이영희,일반음식점,기타 음식점업,1.61893E+12,1,경상북도 영주시 풍기읍 소백로 1931,054-635-9285,10,영주한우마을 경상북도 영주시 풍기읍 소백로 1931 기타 음식점업,경상북도 영주시 풍기읍 소백로 1931,36.86948523,128.535978
,영주한우숯불구이소띠,0,103,김태수,일반음식점,한식,1.65289E+12,1,경상북도 영주시 대동로31번길 12,054-631-8515,10,영주한우숯불구이소띠 경상북도 영주시 대동로31번길 12 한식,경상북도 영주시 대동로31번길 12,36.8153223,128.6071899
,예안민물매운탕,0,166,방인자,일반음식점,기타 음식점업,1.61893E+12,1,경상북도 영주시 안정면 신재로 514,054-634-2893,10,예안민물매운탕 경상북도 영주시 안정면 신재로 514 기타 음식점업,경상북도 영주시 안정면 신재로 514,36.830804,128.6021271
,옛날돼지국밥,0,110,이태숙,일반음식점,한식,1.65289E+12,1,경상북도 영주시 선비로79번길 40-8,054-635-8678,10,옛날돼지국밥 경상북도 영주시 선비로79번길 40-8 한식,경상북도 영주시 선비로79번길 40-8,36.81334999,128.6218136
,오계춘천닭갈비가흥점,0,72,김경희,일반음식점,한식,1.65582E+12,1,경상북도 영주시 영주로86번길 47-3,054-638-5867,10,오계춘천닭갈비가흥점 경상북도 영주시 영주로86번길 47-3 한식,경상북도 영주시 영주로86번길 47-3,36.8219303,128.6114053
,오리한마리식당,0,91,차순화,일반음식점,한식,1.65289E+12,1,경상북도 영주시 번영로 18,054-632-9620,10,오리한마리식당 경상북도 영주시 번영로 18 한식,경상북도 영주시 번영로 18,36.81368733,128.628464
,오미고을,0,218,정숙희,일반음식점,한식,1.58584E+12,1,경상북도 영주시 원당로19번길 7,054-632-4974,10,오미고을 경상북도 영주시 원당로19번길 7 한식,경상북도 영주시 원당로19번길 7,36.81769899,128.6181953
,오승밥상,0,95,우인숙,일반음식점,한식,1.65289E+12,1,경상북도 영주시 시청로 36,054-633-0569,10,오승밥상 경상북도 영주시 시청로 36 한식,경상북도 영주시 시청로 36,36.8095431,128.6245314
,오케이갈비,0,134,박중환,일반음식점,한식,1.65289E+12,1,경상북도 영주시 대동로31번길 24,054-631-0883,10,오케이갈비 경상북도 영주시 대동로31번길 24 한식,경상북도 영주시 대동로31번길 24,36.8171406,128.6062253
,용천동숯불구이,0,50,김미순,일반음식점,한식,1.65582E+12,1,경상북도 영주시 풍기읍 기주로 85-1,054-638-3649,10,용천동숯불구이 경상북도 영주시 풍기읍 기주로 85-1 한식,경상북도 영주시 풍기읍 기주로 85-1,36.86974238,128.5262024
,용호회센타,0,184,권용호,일반음식점,일식,1.61893E+12,1,경상북도 영주시 지천로 87,054-637-7778,10,용호회센타 경상북도 영주시 지천로 87 일식,경상북도 영주시 지천로 87,36.8161634,128.619958
21,우정면옥,1,,,,,,0,경상북도 영주시 창진로 27 ,054-634-5600,100,우정면옥 경상북도 영주시 창진로 27,경상북도 영주시 창진로 27,36.859276,128.5866888
,우정숯불식당,0,156,최선희,일반음식점,한식,1.62152E+12,1,경상북도 영주시 가흥로357번길 55,054-638-0016,10,우정숯불식당 경상북도 영주시 가흥로357번길 55 한식,경상북도 영주시 가흥로357번길 55,36.83015754,128.609325
22,운현궁,1,,,,,,0,경상북도 영주시 원당로 90 , 054-635-2333 ,100,운현궁 경상북도 영주시 원당로 90,경상북도 영주시 원당로 90,36.8236758,128.6283491
,운현궁식당,0,162,김삼화,일반음식점,한식,1.62152E+12,1,경상북도 영주시 원당로 90,054-635-2333,10,운현궁식당 경상북도 영주시 원당로 90 한식,경상북도 영주시 원당로 90,36.8236758,128.6283491
,응급실국물떡볶이경북영주가흥점,0,84,유명순,일반음식점,기타 음식점업,1.65582E+12,1,경상북도 영주시 대동로13번길 18,054-632-1198,10,응급실국물떡볶이경북영주가흥점 경상북도 영주시 대동로13번길 18 기타 음식점업,경상북도 영주시 대동로13번길 18,36.8169623,128.6037631
,이대조뼈다귀,0,93,이명진,일반음식점,한식,1.65289E+12,1,경상북도 영주시 대학로 3,054-638-2222,10,이대조뼈다귀 경상북도 영주시 대학로 3 한식,경상북도 영주시 대학로 3,36.829578,128.605077
,일품양평해장국영주가흥점,0,151,강민영,일반음식점,기타 음식점업,1.6236E+12,1,경상북도 영주시 대동로34번길 2,054-634-4026,10,일품양평해장국영주가흥점 경상북도 영주시 대동로34번길 2 기타 음식점업,경상북도 영주시 대동로34번길 2,36.81484678,128.6059407
,자갈치앤꼼장어,0,52,김태란,일반음식점,한식,1.65582E+12,1,경상북도 영주시 풍기읍 풍기로 61,054-636-8884,10,자갈치앤꼼장어 경상북도 영주시 풍기읍 풍기로 61 한식,경상북도 영주시 풍기읍 풍기로 61,36.87052803,128.5253418
23,자미가,1,,,,,,0,경상북도 영주시 부석면 부석사로 311,054-632-3454,100,자미가 경상북도 영주시 부석면 부석사로 311,경상북도 영주시 부석면 부석사로 311,36.9867187,128.6598069
,자미가식당,0,200,한정태,일반음식점,한식,1.60329E+12,1,경상북도 영주시 부석면 부석사로 311,054-632-3454,10,자미가식당 경상북도 영주시 부석면 부석사로 311 한식,경상북도 영주시 부석면 부석사로 311,36.9867187,128.6598069
24,자연묵집,1,199,박재현,일반음식점,한식,1.60329E+12,1,경상북도 영주시 안정면 회헌로 508,054-637-2979,110,자연묵집 경상북도 영주시 안정면 회헌로 508 한식,경상북도 영주시 안정면 회헌로 508,36.86930962,128.5958562
,자인야식당,0,15,임명숙,일반음식점,한식,1.65582E+12,1,경상북도 영주시 중앙로81번길 31,054-984-7687,10,자인야식당 경상북도 영주시 중앙로81번길 31 한식,경상북도 영주시 중앙로81번길 31,36.82361355,128.6232856
,잔디밭갈비,0,198,김순예,일반음식점,한식,1.60329E+12,1,경상북도 영주시 구성로 383,054-631-5923,10,잔디밭갈비 경상북도 영주시 구성로 383 한식,경상북도 영주시 구성로 383,36.8283545,128.6168608
,장모님시골밥상,0,54,김연수,일반음식점,한식,1.65582E+12,1,경상북도 영주시 풍기읍 인삼로3번길 4,054-635-3777,10,장모님시골밥상 경상북도 영주시 풍기읍 인삼로3번길 4 한식,경상북도 영주시 풍기읍 인삼로3번길 4,36.87312947,128.5245595
,장수송어회식당,0,145,김명순,일반음식점,한식,1.63777E+12,1,경상북도 영주시 장수면 갈미로 62,054-637-3549,10,장수송어회식당 경상북도 영주시 장수면 갈미로 62 한식,경상북도 영주시 장수면 갈미로 62,36.77255839,128.5560643
,장수식당,0,94,김성구,일반음식점,한식,1.65289E+12,1,경상북도 영주시 선비로 43,054-631-3915,10,장수식당 경상북도 영주시 선비로 43 한식,경상북도 영주시 선비로 43,36.8146002,128.6225686
,장어나라,0,176,김일남,일반음식점,한식,1.61893E+12,1,경상북도 영주시 번영로 110,054-632-1411,10,장어나라 경상북도 영주시 번영로 110 한식,경상북도 영주시 번영로 110,36.82194109,128.6283262
25,전통묵집식당,1,,,,,,0,경상북도 영주시 원당로163번길 24 ,054-633-9284,100,전통묵집식당 경상북도 영주시 원당로163번길 24,경상북도 영주시 원당로163번길 24,36.82590725,128.6289428
,정가네식당,0,49,이미정,일반음식점,한식,1.65582E+12,1,경상북도 영주시 풍기읍 동양대로 24,054-637-3395,10,정가네식당 경상북도 영주시 풍기읍 동양대로 24 한식,경상북도 영주시 풍기읍 동양대로 24,36.8728061,128.5282834
,정고짚,0,100,권화자,일반음식점,한식,1.65289E+12,1,경상북도 영주시 대동로 42,054-633-6037,10,정고짚 경상북도 영주시 대동로 42 한식,경상북도 영주시 대동로 42,36.8148695,128.6096345
,종로분식,0,25,권영순,일반음식점,한식,1.65582E+12,1,경상북도 영주시 선비로 77,054-635-0129,10,종로분식 경상북도 영주시 선비로 77 한식,경상북도 영주시 선비로 77,36.8146002,128.6225686
,좋은날에식당,0,34,박영신,일반음식점,한식,1.65582E+12,1,경상북도 영주시 번영로 68-1,054-631-8253,10,좋은날에식당 경상북도 영주시 번영로 68-1 한식,경상북도 영주시 번영로 68-1,36.8173018,128.6284015
,주가네손짜장,0,61,주향나,일반음식점,중식,1.65582E+12,1,경상북도 영주시 순흥면 순흥로 58,054-636-7935,10,주가네손짜장 경상북도 영주시 순흥면 순흥로 58 중식,경상북도 영주시 순흥면 순흥로 58,36.91481593,128.5760439
,주봉냉면,0,59,박종한,일반음식점,한식,1.65582E+12,1,경상북도 영주시 풍기읍 삼가로 64,054-636-3210,10,주봉냉면 경상북도 영주시 풍기읍 삼가로 64 한식,경상북도 영주시 풍기읍 삼가로 64,36.8942843,128.5235468
26,죽령주막,1,,,,,,0,경상북도 영주시 풍기읍 죽령로 2316,054-638-6151,100,죽령주막 경상북도 영주시 풍기읍 죽령로 2316,경상북도 영주시 풍기읍 죽령로 2316,36.8822131,128.4910749
,중앙해물탕,0,48,장선재,일반음식점,한식,1.65582E+12,1,경상북도 영주시 중앙로126번길 15,054-632-5537,10,중앙해물탕 경상북도 영주시 중앙로126번길 15 한식,경상북도 영주시 중앙로126번길 15,36.82627051,128.6267928
,진주면옥,0,77,박선기,일반음식점,한식,1.65582E+12,1,경상북도 영주시 대학로 185,054-632-2373,10,진주면옥 경상북도 영주시 대학로 185 한식,경상북도 영주시 대학로 185,36.8187464,128.6046765
,차이나,0,141,김수연,일반음식점,중식,1.65289E+12,1,경상북도 영주시 지천로 135,054-638-5959,10,차이나 경상북도 영주시 지천로 135 중식,경상북도 영주시 지천로 135,36.8161634,128.619958
,착한낙지영주점,0,124,김종갑,일반음식점,한식,1.65289E+12,1,경상북도 영주시 대학로 291,054-631-7540,10,착한낙지영주점 경상북도 영주시 대학로 291 한식,경상북도 영주시 대학로 291,36.8263066,128.6049243
,참나무골장작구이,0,128,장재훈,일반음식점,한식,1.65289E+12,1,경상북도 영주시 대동로52번길 7,054-634-3373,10,참나무골장작구이 경상북도 영주시 대동로52번길 7 한식,경상북도 영주시 대동로52번길 7,36.81408927,128.6081899
,참나무생고기숯불구이,0,197,임동운,일반음식점,한식,1.60329E+12,1,경상북도 영주시 번영로 173,054-636-5255,10,참나무생고기숯불구이 경상북도 영주시 번영로 173 한식,경상북도 영주시 번영로 173,36.8173018,128.6284015
,참치데이,0,96,김광종,일반음식점,일식,1.65289E+12,1,경상북도 영주시 풍기읍 동성로 78,054-636-8822,10,참치데이 경상북도 영주시 풍기읍 동성로 78 일식,경상북도 영주시 풍기읍 동성로 78,36.87097926,128.527845
,참치본가,0,130,박동수,일반음식점,일식,1.65289E+12,1,경상북도 영주시 대동로 61-1,054-633-3788,10,참치본가 경상북도 영주시 대동로 61-1 일식,경상북도 영주시 대동로 61-1,36.8144125,128.6197363
,채담뜰식당,0,56,장민섭,일반음식점,한식,1.65582E+12,1,경상북도 영주시 풍기읍 동양대로 18 외1필지,054-636-7307,10,채담뜰식당 경상북도 영주시 풍기읍 동양대로 18 외1필지 한식,경상북도 영주시 풍기읍 동양대로 18 외1필지,36.8723783,128.5279835
27,천수남원추어탕,1,,,,,,0,경상북도 영주시 풍기읍 죽령로 1548,054-637-7878,100,천수남원추어탕 경상북도 영주시 풍기읍 죽령로 1548,경상북도 영주시 풍기읍 죽령로 1548,36.8730056,128.5133963
,철가방반점,0,167,강재일,일반음식점,중식,1.61893E+12,1,경상북도 영주시 구성로 210,054-635-2466,10,철가방반점 경상북도 영주시 구성로 210 중식,경상북도 영주시 구성로 210,36.8009588,128.6309902
,청화루,0,2,오문자,일반음식점,중식,1.65651E+12,1,경상북도 영주시 순흥면 소백로 2796 저자거리A동,054-637-6657,10,청화루 경상북도 영주시 순흥면 소백로 2796 저자거리A동 중식,경상북도 영주시 순흥면 소백로 2796 저자거리A동,36.92847353,128.5834337
28,축산본점식육식당,1,196,신인식,일반음식점,한식,1.60329E+12,1,경상북도 영주시 번영로173번길 10 ,054-631-1437,110,축산본점식육식당 경상북도 영주시 번영로173번길 10  한식,경상북도 영주시 번영로173번길 10,36.82682243,128.6240212
29,카페담원,1,187,김승희,일반음식점,서양식,1.61893E+12,1,경상북도 영주시 문수면 문수로1406번길 10,054-634-2736,110,카페담원 경상북도 영주시 문수면 문수로1406번길 10 서양식,경상북도 영주시 문수면 문수로1406번길 10,36.77273129,128.6320464
30,카페정담,1,,,,,,0,경상북도 영주시 풍기읍 소백로 2000,054-636-3330,100,카페정담 경상북도 영주시 풍기읍 소백로 2000,경상북도 영주시 풍기읍 소백로 2000,36.87507316,128.5399077
31,코끼리분식,1,183,김기영,일반음식점,기타 음식점업,1.61893E+12,1,경상북도 영주시 중앙로83번길 7 ,054-631-1214,110,코끼리분식 경상북도 영주시 중앙로83번길 7  기타 음식점업,경상북도 영주시 중앙로83번길 7,36.82298614,128.6243307
,코레아경양식영주점,0,195,이순우,일반음식점,서양식,1.60329E+12,1,경상북도 영주시 구성로350번길 41,0507-1384-2251,10,코레아경양식영주점 경상북도 영주시 구성로350번길 41 서양식,경상북도 영주시 구성로350번길 41,36.8243028,128.6243864
,코리아나식당,0,3,이해숙,일반음식점,한식,1.65651E+12,1,경상북도 영주시 부석면 부석사로 10,054-635-4220,10,코리아나식당 경상북도 영주시 부석면 부석사로 10 한식,경상북도 영주시 부석면 부석사로 10,36.9867187,128.6598069
,키햐아영주점,0,138,조은송,일반음식점,일식,1.65289E+12,1,경상북도 영주시 대학로262번길 3,054-632-7070,10,키햐아영주점 경상북도 영주시 대학로262번길 3 일식,경상북도 영주시 대학로262번길 3,36.81891123,128.6053339
,태송아구찜,0,119,김춘희,일반음식점,한식,1.65289E+12,1,경상북도 영주시 중앙로 86-5,054-633-1067,10,태송아구찜 경상북도 영주시 중앙로 86-5 한식,경상북도 영주시 중앙로 86-5,36.8271364,128.6257796
,태양회식당,0,37,김미진,일반음식점,일식,1.65582E+12,1,경상북도 영주시 구성로 268,054-637-7702,10,태양회식당 경상북도 영주시 구성로 268 일식,경상북도 영주시 구성로 268,36.8283545,128.6168608
,텐소마식당,0,143,원치훈,일반음식점,일식,1.63777E+12,1,경상북도 영주시 번영로 169-1,054-631-2695,10,텐소마식당 경상북도 영주시 번영로 169-1 일식,경상북도 영주시 번영로 169-1,36.82624728,128.6244131
,판도라식당,0,117,윤혜숙,일반음식점,한식,1.65289E+12,1,경상북도 영주시 대학로12번길 21,054-638-0026,10,판도라식당 경상북도 영주시 대학로12번길 21 한식,경상북도 영주시 대학로12번길 21,36.81103037,128.6221813
,푸드코트,0,89,김미진,일반음식점,기타 음식점업,1.65582E+12,1,경상북도 영주시 대학로284번길 23,054-632-2344,10,푸드코트 경상북도 영주시 대학로284번길 23 기타 음식점업,경상북도 영주시 대학로284번길 23,36.8206461,128.6074301
,푸른바다회집,0,43,권수환,일반음식점,일식,1.65582E+12,1,경상북도 영주시 원당로 147 101호,054-638-3855,10,푸른바다회집 경상북도 영주시 원당로 147 101호 일식,경상북도 영주시 원당로 147 101호,36.82447224,128.6288888
,풍기닭갈비,0,188,정희정,일반음식점,한식,1.61893E+12,1,경상북도 영주시 풍기읍 동양대로 58,054-636-6845,10,풍기닭갈비 경상북도 영주시 풍기읍 동양대로 58 한식,경상북도 영주시 풍기읍 동양대로 58,36.87460324,128.5307694
32,풍기삼계탕,1,221,김수미,일반음식점,한식,1.58489E+12,1,경상북도 영주시 중앙로 130 ,054-631-4900,110,풍기삼계탕 경상북도 영주시 중앙로 130  한식,경상북도 영주시 중앙로 130,36.819539,128.6189829
,풍기온천숯불,0,194,이명숙,일반음식점,한식,1.60329E+12,1,경상북도 영주시 풍기읍 죽령로 1365,054-633-5120,10,풍기온천숯불 경상북도 영주시 풍기읍 죽령로 1365 한식,경상북도 영주시 풍기읍 죽령로 1365,36.8822131,128.4910749
,풍기인삼갈비,0,193,이유미,일반음식점,한식,1.60329E+12,1,경상북도 영주시 풍기읍 소백로 1933,054-635-2382,10,풍기인삼갈비 경상북도 영주시 풍기읍 소백로 1933 한식,경상북도 영주시 풍기읍 소백로 1933,36.869782,128.5360072
,풍기인삼복어,0,11,이미애,일반음식점,한식,1.65582E+12,1,경상북도 영주시 원당로 29,054-635-3123,10,풍기인삼복어 경상북도 영주시 원당로 29 한식,경상북도 영주시 원당로 29,36.8240788,128.6288937
,풍기족발순대국밥,0,55,김주연,일반음식점,한식,1.65582E+12,1,경상북도 영주시 풍기읍 동성로94번길 2,054-632-8111,10,풍기족발순대국밥 경상북도 영주시 풍기읍 동성로94번길 2 한식,경상북도 영주시 풍기읍 동성로94번길 2,36.87156854,128.5263152
